Meanings,English Definition,POS,J Translation
elect to,To choose to do something; to make a decision,verb,選ぶ
election,process of choosing someone by voting,n,選挙
electric,using electricity,adj,電気の
electricity,energy generated positive and negative charges,n,電気
embarrass,to cause someone to feel uncomfortable about something,verb,恥ずかしがらせる
emotion,"a feeling such as sadness, anger or love",n,感情
emotional,"causing, feeling, or appealing to the emotions",adj,感情の
empire,group of countries controlled by one government,n,帝国
encourage,To make someone more determined or confident,verb,励ます；奨励する
enemy,Someone who wants to harm another,n,敵
energy,physical or mental strength,n,精力；エネルギー
engage,"To carry out, participate in; be involved in",verb,従事する；かみ合う
engineer,one whose job is involved with engineering,n,エンジニア；技師
enormous,"Huge, very big, very large",adj,巨大な
entertain,To take care of guests by offering them food or drink often at your home or in a restaurant,verb,もてなす
entertainment,"activity make people have a good time by singing, telling jokes, etc",n,エンターテイメント； 娯楽 
entire,Complete or full; with no part left out; whole,adj,全体の；完全な
entirely,Wholly; completely,adv,全く
envelope,enclosing cover for a letter or card,n,封筒
environment,The natural world in which plants and animals live,n,環境
environmental,Of the natural world in which plants and animals live,adj,環境の；環境保護の
equal,"same in shape, size, or number",adj,等しい
equally,"In an equal, even, or identical manner",adv,同様に；等しく
equipment,Tools or materials used to perform a task,n,装置；設備
escape,To get away from a place where you are being kept,verb,逃げる
establish,To set or create something to last for a long time,verb,設立する；制定する
establishment,"organization, institution or place to do business",n,設立；制定；施設
estate,Land that a person owns,n,土地；財産；地位
event,Something that happens,n,出来事
eventually,Finally,adv,最終的には
evidence,factual proof that helps to establish the truth,n,証拠
evil,Morally bad; causing harm to someone,adj,悪
exam,"test of your knowledge of, or ability in something",n,試験
examination,"test of your knowledge of, or ability in something",n,試験
examine,to test your knowledge or ability,verb,試験をする；調べる
example,thing/person which represents a category,n,例
excellent,extremely good,adj,非常に優れた
exchange,To give things of similar value to each other,verb,交換する
exercise,To work out to become stronger and healthier,n,運動する
exhaust,Be very very tired,verb,疲れさせる
exist,"to be present, alive or real",verb,存在する
existence,"state of being present, alive or real",n,存在
expense,paying money for something (big),n,費用
expose,"To make visible, without covering or protection",verb,さらす；暴く
exposure,state of experiencing something directly,n,さらすこと；暴露
extend,"To straighten or stretch something out, e.g. your leg",verb,引き伸ばす；広げる
extreme,Very great in degree,adj,極端な，極度
extremely,In a way that is much more than usual or expected,adv,極めて
fail,"To not achieve a goal, or to go wrong",verb,失敗する、目標に達成しない
faith,belief that that something is true without proof,n,信仰；信頼
faithfully,in a trustworthy manner,adv,忠実に
familiar,Well-known or easily recognized,adj,よく知られた
famous,widely known; recognized by many people,adj,有名な
fan,thing you wave in front of your face to stay cool,n,扇風機；うちわ
fancy,To want to have or do something; feel like,verb,好む；～したい気がする
fantastic,"Very fanciful in design, construction, or appearance",adj,素晴らしい；幻想的な
fascinate,Attract or interest greatly,verb,魅了する
fashion,style of dress or activity popular at some time,n,服装
fault,a failure or negative aspect of,n,欠点
favor,helpful act of kindness,n,親切，好む；賛成する
feature,distinctive or important point of something,n,特徴
february,2nd month of the year,n,2月
female,person of the sex that gives birth to babies,adj,女性
fence,wood/metal structure enclosing an area/land,n,フェンス，囲い
file,"To submit documents to an authority, e.g. city hall",verb,提出する
finance,control of money a person/business has access to,n,財政；金融，資金
financial,Involving money,adj,財政の；金融の
firm,"Fairly hard or solid, not soft",adj,堅い；安定した
firmly,"in a hard, steady, unchanging way",adv,堅く；しっかりと
flag,"piece of cloth, frequently marked with a colorful symbol or sign",n,旗
flash,sudden bright light,n,閃光，ぴかっと光る
flight,the act of flying,n,飛行
float,To rest on top of a surface of water or another liquid,verb,浮く
flood,large amount of water covering land that is usually dry,n,洪水
flow,To move steadily and easily in a certain direction,verb,流れる
fold, To bend one part of something against another part e.g. paper,verb,折りたたむ
folk,of ordinary people; not sophisticated,adj,人の、民族の
fool,To trick someone; to deceive,verb,だます
foreign,Being of a different place or country,adj,外国の
forth,Outward forward,adv,前へ；外へ
fortune,"Chance or luck, particularly good luck",n,運；運勢
frame,"Border of wood, metal, etc. in which a picture, door, pane of glass, etc. is enclosed or set",n,枠組み；骨組み，組み立てる
fruit,food that grows on a tree or bush,n,果物
fund,To supply money for something,n,資金を出す
furniture,"items such as tables, chairs, beds or closets",n,家具
future,Time that is to come after the present,n,未来
gain,"To get something wanted, needed or valued",verb,得る
gate,place in a fence which can be opened or closed,n,ゲート；門
gather,To bring people/animals together into a group,verb,集会を開く
gay,person attracted to someone of the same sex,n,同性愛者
gear,the transmission configuration in a vehicle,n,車のギア
generation,People born and living at about the same time,n,世代
gentleman,man who has good manners and is considerate,n,紳士
gift,Something given to another for a reason; present,n,贈り物；才能
goal,Something you try to do or achieve; an aim,n,目的；目標
golf,game played to hit a ball into a hole with a stick,n,ゴルフ
grab,To quickly reach out and take something in your hand.,verb,つかみ取る
grade,level of study that is completed by a student,n,学年
grand,Including many things ; very large,adj,壮大な
grant,To give or let someone do what they want,verb,(願い・要求などを)聞き入れる；付与する
grin,To show the teeth because you are amused ; smile,verb,ニヤリと笑う
guarantee,To make a formal promise that something will happen or be done.,verb,保証，保証する
guard,to keep watch over something to protect it e.g. a bank,verb,守る；見張る，警備
guest,person invited to visit or stay in someone's home,n,客；ゲスト
guide,To lead people visiting a new or unknown place,verb,案内する；指導する，案内者；指導者
guilty,Responsible for a wrongdoing or an offense,adj,有罪の
habit,usual way of behaving ; something often repeated,n,習慣
harm,"To injure, damage, or cause problems due to something you do",verb,損害，害する
height,distance of something from the bottom to the top,n,高さ
hero,person of great courage and strength who saves others,n,英雄
hesitate,To stop before doing something because you are unsure what to do,verb,ためらう
hire,To employ a person to do a particular job or borrow something,verb,雇う
hook,curved or bent tool,n,フック，フックで吊るす
hotel,place where people can stay when travelling,n,ホテル
identify,To indicate who or what someone or something is,verb,確認する；同一視する
identity,collection of qualities that makes a person,n,アイデンティティ；独自性；身元
ignore,"To not listen to, look at, or pay attention to",verb,無視する
ill,Not well or sick,adj,病気で，悪く
illegal,Not allowed by the laws or rules,adj,違法の
illness,unhealthy condition of the mind or body,n,病気
illustrate,To explain with examples to make easier to understand,verb,説明する
illustration,picture that helps explain something,n,挿絵；図解
image,"picture, sculpture or painting of something",n,イメージ；画像
immediate,done without delay; straight away,adj,即時の；直近の
immediately,without any delay; straight away; right (after or before),adv,すぐに
impress,To make an emotional or cognitive impact upon,verb,よい印象を与える
impressive,"Causing admiration or respect; big, grand, expensive etc",adj,印象的な
improve,"To make, or become, something better",verb,改善する
improvement,addition or change that makes something better,n,改善
inch,1/12 of a foot (2.54 centimeters),n,インチ
include,to make someone/something part of a group,verb,含む
income,"Earned money from work, investments or business",n,収入
increase,to make or become something larger in size or amount,verb,増える；増加させる
increasingly,more and more; in greater degree or amount,adv,ますます
indicate,"To show something, direct attention to or point out",verb,指し示す
indication,Something that signals that something else exists or will happen,n,表示；兆候
individual,"single person, looked at separately from others",n,個人，個人の
industrial,Concerning industry or people involved in industry,adj,産業の
industry,Factories or businesses that make certain products,n,産業
influence,to affect what happens; change something (indirectly),verb,影響を与える，影響
injure,Do physical harm or damage,verb,傷つける
injury,Physical or emotional harm or damage that a person experiences,n,傷害
innocent,Free from evil or guilt,adj,無邪気な；無罪の
insist,To strongly state your opinion without changing it,verb,主張する
instance,an example of something; case,n,例；実例
instruction,information about how to do or use something,n,指示；教育
instrument,device that is used for creating music,n,楽器
intend,To plan or want to do something,verb,～するつもりである
intense,"Very strong, great or extreme in degree",adj,激しい
intention,aim or purpose,n,意図
interview,To formally ask questions about a given topic,verb,面接；インタビュー
introduce,to make someone known to another by name,verb,紹介する
introduction,making someone known to another by name,n,紹介
investigate,To try to find out facts; to carry out research,verb,調査する
investigation,search for information about something,n,調査
invitation,"when someone asks another to attend an event, etc",n,招待
invite,To ask someone to go somewhere or do something,verb,招待する；勧める
iron,hot heavy metal object used to smoothen clothes,n,アイロン，アイロンをかける
item,"distinct, individual thing, often part of a group",n,事項；項目
jacket,"light, thin coat worn on the upper body over another shirt or piece of clothing for protection or warmth",n,ジャケット；カバー
journey,act of traveling from one place to another ; trip,n,旅
joy,feeling of great happiness and pleasure,n,喜び
july,7th month of the year,n,7月
justice,"quality of being fair, equal, or just",n,公正
keen,Being eager or excited for something to happen,adj,鋭い
knee,Middle part of your leg that bends,n,膝
knife,long piece of metal you use for cutting things,n,ナイフ；刀
knowledge,"Information, understanding, or skill",n,知識
labor,To work hard (often physically) for many hours,verb,労働，働く；詳細に論じる
laboratory,workplace for the conduct of scientific research,n,研究室
lack,"to not have, or not have enough, of something",verb,不足，欠いている
language,words or signs used to communicate messages,n,言語
lawyer,professional who helps people with the law,n,弁護士
league,association of sports teams that organizes matches for its members,n,同盟；リーグ 
leap,To move forwards often in big steps,verb,飛び跳ねる，跳躍
legal,Concerning the law; allowed by law,adj,合法的な；法的な
lend,to give to someone for a while before it is returned,verb,貸す
length,measurement of distance or of time,n,長さ
lesson,something done to learn or teach something; class,n,授業；課
library,place where books and other media are kept,n,図書館
license,official certificate which grants a person permission to do or have something,n,免許
likely,referring to the chance that something will actually happen,adj,ありそうな；～しそうである；適した
limit,point beyond which it is not possible to go,n,限度；境界，制限する
limitation,act of controlling or reducing the size of something,n,制限；限界
loan,To borrow money that must be paid back,verb,貸す，貸付
locate,"To find a certain place, location, or destination",verb,捜し出す；置く；位置する
location,particular position or area,n,場所
log,piece of a tree that has fallen or been cut,n,丸太
loose,Not tightly attached or held,adj,ゆるい；自由な
loss,experience or state of failing to have or keep,n,失うこと；損害
magazine,weekly or monthly publication with pictures and stories,n,雑誌
magic,Any art that invokes supernatural powers,n,手品；魔法
mail,"a letter, package or email",n,郵便；メール
maintain,"To keep, exist or continue without changing",verb,維持する；持続する
maintenance,keeping (a machine) working by checking and fixing it,n,維持；整備
male,Characteristic of boys or men,adj,男性
manner,That way that something happens or is done,n,方法
map,picture showing the geography of an area,n,地図
mass,Having to do with a large amount of people,n,質量
massive,Very big large too big,adj,巨大な；大量の
match,"a sports competition between two people or teams
",n,試合
mate,"Someone who you work, live, or go to school with",n,仲間
material,substance from which a thing is made of,n,材料，物質
mathematics,study or science of numbers and shapes,n pl.,数学
maximum,largest or greatest,n,最大
measure,"To calculate size, weight or temperature of",verb,測る;寸法をとる
measurement,size or amount of something or someone,n,測定
meat,flesh of a dead animal that you eat,n,肉；
medical,of or relating to physical health or medicine,adj,医療の
medicine,a substance used in treating illness or pain,n,薬
memory,Something that has been remembered,n,記憶
mental,Concerning the mind,adj,精神の
message,piece of information that is told/given to someone,n,メッセージ；伝言
metal,Usually hard shiny material mined from rock,n,金属
meter,unit of length equal to 100cm or about 39 inches,n,メートル
military,Concerning soldiers or the armed forces,n,軍隊，軍の
minor,"Not so large in size, not important or valuable",adj,小さい；少ない；重要でない
minority,part that is less than half of the whole; a small part,n,少数派
mirror,thing with a glass surface used to look at yourself,n,鏡
mission,a special assignment that is given to a person or group,n,任務
mix,To combine two or more things to make one,verb,混ぜる
model,To make a small scale copy of a full original,adj,模型を作る，模範となる
modern,of the present time; up to date; contemporary,adj,現代の
mood,emotion or a state of mind; how you feel,n,気分；ムード
moon,round object circling the Earth at night,n,月
motor,concerning cars and vehicles,adj,"自動車の,動力を起こす"
mount,To attach to a support,verb,登る；乗る；取り付ける
mouse,small animal that has fur and a long tail,n,ネズミ
murder,crime of deliberately killing a person,n,殺人，殺す
muscle,One of the contractile soft organs of the body,n,筋肉
mystery,"book, play, or film that deals with a solution of a strange crime",n,謎；ミステリー
narrow,Not wide ; short from one side to the other,adj,狭い
native,person speaking a language from birth,n,ネイティブ；母語話者
neither,Not one or the other not either none of two things,adj,どちらも～ない
nerve,fibers in the body that enable feeling and movement,n,神経
nervous,Having a tendency to become uneasy or anxious,adj,神経質な；緊張して
newspaper,Sheets of paper (or online) containing news stories,n,新聞
nor,Used to show two things that are both untrue or do not happen,conj,～もまた～でない
northern, in or toward the north,adj,北の
november,11th month of the year,n,11月
nowhere,Not in or at any place; no place,adv,どこにも～ない
object,to disagree; to protest against an idea or plan,verb,反対する
observation,remark or comment on something you noticed,n,観察；監視
observe,to watch carefully; to make a comment ,verb,観察する
occasion,time when something happens or takes place,n,時；出来事；機会
occasionally,not very often; sometimes; seldom,adv,時折に
occur,To come to pass or to happen,verb,発生する
october,10th month of the year,n,10月
official,of or done by someone in authority; formal,adj,公式な；公的な
operate,To be working or being used,verb,作動する；操作する；作用する；経営する
operation,Functioning; use,n,作用；操作；事業
operator,person whose job it is to connect phone calls,n,操作者；(電話の)交換手；経営者
opinion,a person's thoughts on a topic,n,意見
opportunity,time/situation when a thing might be done; chance,n,機会
oppose,"To fight against someone in a contest, game or fight",verb,反対する
opposite,Across from or on the side facing something,adj,反対側の
opposition,act of disagreeing or trying to stop something,n,反対
ordinary,Normal or usual,adj,普通の
organization,formal group of people with a particular purpose,n,組織
organize,"To arrange and plan things, e.g. a party",verb,組織する；まとめる；計画する
original,"being first made, thought or performed; fresh",adj,最初の；原始的な；独創的な，原物
originally,At first; in the beginning,adv,もともと
otherwise,"indicates that there will be a bad result if something is done, not done, or done improperly",adv,さもなければ；別のやり方で，他の
owe,To need to pay or repay money,verb,借りがある；義務がある；おかげである
panic,overwhelming feeling of fear and anxiety,n,恐慌；パニック
partner,someone you have a business or personal relationship with,n,パートナー；相棒
partnership,working with others for some purpose,n,協力関係
path,track made with stones/by walking over the ground,n,小道；通り道
patient,not getting annoyed when things take a long time,adj,辛抱強い
pattern,regular repeated behavior,n,模範；原型；模様；傾向；パターン
pause,To stop doing for a while before continuing,verb,休止，休止する
peace,time when there is no war or fighting,n,平和
pen,Something you write with in ink,n,ペン
pension,regular payments you receive after you retire,n,年金
per,For each; during each,prep,～につき； ～ごとに
percent,One one-hundredth of a whole,n,パーセント
percentage,part of a whole divided into hundredths,n,パーセンテージ；割合
perform,To carry out an action well or successfully,verb,行う；成し遂げる
performance,activity done to entertain an audience,n,演奏；公演
period,set amount of time during which events take place,n,期間；時代
physical,Concerning the body of a person,adj,身体の；肉体の
piano,keyboard instrument used for playing music,n,ピアノ
pig,animal that bacon comes from,n,ブタ
pile,group of things one on top of another,n,積み重ねる，積み重ね
pink,One of the colors people can see:,adj,ピンク
pipe,"tube a round, hollow piece of metal, plastic, or wood",n,管；パイプ
pitch,black substance that is sticky when it is hot and very hard when it is dry,n,ボールを投げる，投球
plain,very simple/ordinary; not decorated; not striped,adj,地味な；質素な
plane,an airplane,n,飛行機
planet,One of the bodies that orbit the sun,n,惑星
plastic,"stiff but usually come; what flexible man-made material, usually made using a hydrocarbon-based polymer",n,プラスチック
plate,flat dish used for eating or serving food,n,皿
pleasant,Causing a good feeling,adj,気持ちのよい
pleasure,"feeling of happiness, enjoyment, or satisfaction",n,楽しさ；愉快；満足
pocket,small cloth bag sewn into clothing to hold things,n,ポケット
poem,"a written composition in verse, not prose",n,詩
poet,person who writes poems,n,詩人
poetry,poetic writing; imaginative verses,n,詩
policy,"course of action proposed by an organization, etc",n,政策；方針
political,Concerning government or public affairs,adj,政治の
politician, someone who is active in politics,n,政治家
politics,Activities influencing the policies of a government,n pl.,政治
pollution,act or result of releasing dirty or dangerous substances into an environment,n,汚染
pool,large container or hole that is filled with water and used for people to swim in,n,プール
popular,liked or enjoyed by many people,adj,人気のある
population,"number of people who live in a country, area etc",n,人口
port,"place along a coast where ships load and unload things or passengers, or be sheltered during a storm",n,港
positive,"Good or useful in qualities, constructive, confident",adj,確かな；肯定的な；前向きな
possess,to have or own something,verb,所有する；取り憑く
possession,Having or owning something,n,所有物
potato,edible tuber vegetable,n,じゃがいも
pour,To make something flow in a steady stream,verb,注ぐ
practical,"relating to what is sensible, real or useful",adj,実用的な
practice,To do something many times to improve a skill,verb,練習する
pray,To wish or hope for something to happen or be true,verb,祈る；祈願する
prefer,To like something better than something else,verb,好む
preference,Something that is liked or wanted more than another,n,好み
pregnancy,state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus,n,妊娠
pregnant,When women carry a child inside them that is not yet born,adj,妊娠している
president,"person in charge of a country, company or organization",n,大統領；社長
presidential,Concerning the president,adj,大統領・社長の
pressure,the force/weight when pressing against a thing,n,圧力
presumably,Concerning a true or likely nature,adv,恐らく
pretend,To act as if something is true when it is not,verb,ふりをする
prevent,To stop something from happening or existing,verb,防ぐ
previous,Existing or happening before the present time,adj,前の
previously,at an earlier time,adv,以前に
pride,When you respect yourself,n,誇り
prime,"Most important, chief importance in value",adj,最も重要な；最上の
print,"To make many copies of a page, magazine or book",verb,印刷する
printer,machine that makes copies of papers and documents,n,印刷機；プリンター 
private,(information) personal; not to be seen by everyone,adj,私的な；個人的な
process,To adopt a set of actions that produce a particular result,verb,製造過程；手順；一連のプロセス，処理する
produce,To manufacture something using machines,verb,産出する；製造する
producer,company producing or growing a certain product,n,生産者；製造者
product,item that can be bought,n,製品
production,process of making something on a large scale,n,生産
profession,job requiring special education or skills,n,専門職
professional,"About a job such as doctor, lawyer, accountant, etc",adj,専門職の；プロの
progress,To move forward or toward a place or goal,verb,前進する
project,a planned piece of work for specific purpose,n,計画；事業；プロジェクト
property,"Things, building or piece of land owned by someone",n,所有物；財産
proposal,offer or plan to people who can decide about it,n,提案
propose,To offer or put forward an idea for consideration,verb,提案する
protest,To express opposition through action or words,verb,抗議，抗議する
proud,Pleased because of something you have done,adj,誇りに思う
prove,To demonstrate truth by providing evidence,verb,証明する
provide,To make available; to supply for use,verb,提供する
pub,building with a bar licensed to sell alcohol,n,パブ；酒場
pump,To make water or any other liquid move using a machine,verb,ポンプ，ポンプでくみ上げる
purchase,To buy something; to get by paying money for it,verb,購入する
pure,Not mixed with anything else; uncontaminated,adj,純粋な
purpose,reason for which something is done; aim; goal,n,目的
qualification,official record proving a certain standard or level,n,資格
qualify,to earn a qualification through exam/studying,verb,資格を取る
quality,high level of worth or excellence,n,質；資質
quote,To use someone's exact words in your writing or speech,verb,引用する，引用
range,limits within which something extends or varies,n,範囲，範囲に及ぶ；並べる
rapid,Happening very quickly,adj,急速な
rapidly,With great speed,adv,急速に
rare,Not common or usual,adj,珍しい
rarely,In an infrequent manner,adv,めったに～ない
rat,Any of various long-tailed rodents similar to but larger than a mouse,n,ネズミ
react,To behave or make a change in a particular way,verb,反応する
reaction,feeling or action in response to something,n,反応
recall,To remember events or details of the past,verb,思い出す，想起
receive,to get something that someone has given or sent to you,verb,受ける；受信する
reckon,to believe or expect that something is true,verb,数える；考える
recognize,To remember because you have met it before,verb,認識する
recommend,To say something is good and deserves to be chosen,verb,推薦する
recommendation,official suggestion about a course of action or a choice of person; the act of suggesting someone or something as a good choice,n,推薦
recover,"To revive, become healthy after an illness or injury",verb,回復する
recovery,process of returning to a former state after problems or a downward turn,n,回復
reduce,To make something smaller or use less of it,verb,減少させる
reduction,Making something smaller ; reducing something,n,削減
refer,To talk about or write about something,verb,言及する；引用する；参照する
reference,To cite a piece of research in speech or in writing,verb,言及；参照
refuse,To say that you will not accept something,verb,拒否する
regard,To pay attention to someone or something,verb,注視する；注意を払う
regardless,Without being affected or concerned by something difficult or troubling,adj,～に注意しない；～にかかわらず
region,"part of a country, of the world, area, etc",n,地域
regional,Concerning a particular area,adj,地域の
register,To record your name on an official list; sign up,verb,登録する，登録
registration,act of recording information on an official list,n,登録
regular,Occurring or being done frequently,adj,定期的な；規則的な
regularly,"At the usual time each day, week, or month",adv,定期的に；規則的に
relax,"To become or free from tense, tight, or stiff",verb,くつろぐ；緩める
release,"To allow to leave a jail, cage, prison, etc",verb,解放する；公開する，解放
reliable,"Deserving of your trust, dependable",adj,信頼できる
relief,pleasant and relaxed feeling,n,除去；安心；救助
rely on,To depend on someone or something,verb,頼る
remain,"To be left behind, to continue to exist",verb,残る；～ままである，残り；遺跡
remark,To notice or make a comment about something,verb,発言，述べる
remarkable,"Interesting and unexpected, worthy of notice",adj,顕著な
remind,To make someone remember something,verb,思い出させる
remove,"To move, erase or take away from a place",verb,取り除く；解任する
repair,To put what is broken back into good condition ; fix,verb,修理する
repeat,To say something again,verb,繰り返す，繰り返し
replace,To use instead of something else,verb,取り替える
represent,To stand in the place of to act the part of,verb,表す；代表する；説明する
representation,act or action of representing something,n,表現
representative,Typical of a particular group or thing,n,代表者，代表する
require,"To need something, to make it necessary",verb,必要とする
requirement,Something that is a necessity,n,必要条件
research,To carefully study to find and report new knowledge,verb,研究，研究する
researcher,Someone who does research work,n,研究者
reserve,"To arrange for a room, table be kept for you, at particular time.",verb,予約する；取っておく
resist,To try to stop or prevent something,verb,抵抗する
resistance,Refusal to accept something new or different,n,抵抗；耐性
respect,To think very highly of another person because of what they do,verb,尊敬する，尊敬
restaurant,"place where you can order, buy and eat a meal",n,レストラン
result,To be the outcome of other causes and effects,verb,結果，～という結果になる
retire,To stop because you have reached the time,verb,引退する；退職する
retirement,Concerning people who have stopped working because they have reached a certain age,n,引退；退職
risk,To take the chance that you may do something dangerous,verb,危険；リスク，賭ける；危険にさらす
role,character played by an actor,n,役割
roof,cover or top of something,n,屋根
root,the part of a plant that grows underground,n,根；根元，根付かせる；根こそぎにする
row,To move a boat using long pieces of wood called oars,verb,漕ぐ
royal,Concerning a king or queen,adj,国王の
ruin,"To destroy or spoil something, to make it useless",verb,荒廃；破滅，破壊する；破滅させる；だめにする
rush,To do something very quickly,verb,大急ぎでする；突進する，急ぎ；突進；ほとばしり
sake,interest or benefit of someone or something,n,為；目的；利益
salary,money an employee is paid each year,n,給料
sale,Giving something for money; the amount sold,n,販売；売上高
salt,Natural white crystal used to flavor or preserve food,n,塩
sand,Grains of rock that make beaches and deserts,n,砂
satisfy,To be happy because you met your expectation,verb,満たす
scale,a device that is used to weigh a person or thing,n,目盛り；基準；尺度；縮尺比；規模
scene,part of an act in a play,n,現場；場面
schedule,To arrange a time to do something with others,verb,予定；スケジュール
score,To get points in a sport such as kicking a ball into a goal,verb,得点，得点する
scream,To make a sudden loud cry,verb,悲鳴，悲鳴を上げる
screen,"flat surface on a computer, or tv that shows images",n,画面，上映する；検査する；選抜する；隠す
seal,To make something so that it does not leak air or water,verb,封印する；密封する
search,To carefully look for something,verb,捜す，捜索
season,One of the four parts of the year determined mainly by the weather during that time,n,季節
secret,that you don't want others to know; private,adj,秘密の
section,One of the parts that form something,n,部分；区間
seed,small object from which something new can grow,n,種子
seek,To search for; to try to find; look for,verb,探し求める
select,"To choose from a group, something most suitable",verb,選択する，厳選した
selection,process of choosing someone or something carefully,n,選択
senior,Having higher status or authority than another person,adj,年長者；先輩；高齢者
sentence,set of spoken or written words that make a whole statement,n,文
separate,"to divide into parts, or to make something divide into parts",adj,離す；分ける，分かれた
september,9th month of the year,n,9月
series,number of things that happen one after another,n pl.,連続
shade,area of darkness when something blocks the light,n,日陰
shadow,dark shape that appears when something is against the; of light,n,影
sharp,Having a thin edge or point that is able to cut,adj,鋭い；とがった
sheep,animal with a woolly coat raised for meat or wool,n,羊
sheet,"large piece of fabric or material that is used to cover something, often a bed",n,枚；用紙；シート
shelf,flat board attached to a wall on which to store things,n,棚
shell,hard outer covering that protects,n,貝殻
shelter,structure that covers or protects things,n,避難所；保護施設
shift,To change in position or direction,verb,替える，交代
shock,sudden bad feeling caused by something unexpected,n,ぎょっとさせる，激突；ショック
shore,land along the edge of an area of water,n,岸
shower,process of cleaning your body by standing under falling water,n,シャワーを浴びる；浴びせる；たくさん与える
signal,"move a hand, or other thing to tell people to do something.",adj,信号，合図する；示す，際立った
silence,No sound or noise,n,静けさ
silver,near white color metal with high value and the symbol ‘ag’,n,銀
similar,Nearly the same,adj,よく似た
similarly,In away that is almost the same as something or someone else,adv,同様に
sink,large bowl in a kitchen or washroom for washing things,n,流し
site,"present, former or future LOCATION of something, such as a building",n,ウェブサイト
ski,One of a pair of long flat runners attached to the feet for gliding over snow,n,スキー
skill,ability to do something well,n,熟練；技術
skirt,piece of clothing for the lower body worn by women,n,スカート
slave,Someone who is legally owned by another person,n,奴隷
slide,"To move smoothly and easily, usually over a surface",verb,滑る；そっと動く；下がる；悪化する，滑ること；滑り台
smart,"Being wise, intelligent or clever",adj,賢い
smooth,Something that feels pleasant and flat when you touch it not rough,adj,なめらかな，なめらかにする
snap,To break something long and thin e.g. a branch,verb,ポキッと折る；プツンと切れる；パチンと音を立てる；すばやく動く，パチンという音
social,Involving activities among people especially free time activities,adj,社会的な
society,community of people living together,n,社会
soil,mix of sand and other natural material on the surface of the earth that is used to grow plants,n,土壌
soldier,person who is in the military,n,兵士
solid,Firm or hard ; not a gas or liquid,adj,固体の；堅実な
somewhat,"little, not very",adv,いくぶん
soul,spiritual part of a person,n,魂
southern,Having to do with a region in the south,adj,南部の
spare,Being extra; available to be used or borrowed,adj,予備；スペア
species,most specific level in the scientific tree,n pl.,種
specific,Special or particular; clearly presented or stated,adj,明確な；特定の
specifically,In a well defined or clear manner; in particular,adv,特に
speech,expression of ideas or opinions,n,話；スピーチ
speed,quality of being fast or quick,n,速さ，急ぐ；加速する
spell,"to be able to say, write, or print the letters that make up a word",verb,つづり；スペル，つづる
spin,To turn around repeatedly,verb,回転する
spirit,part of a person that is not physical and believed to be the source of human emotions and character,n,精神；気分；気力
split, To break something into pieces or divide someting,verb,割る；裂く，分割；対立
spread,To place something over or cover a large area,verb,広げる，広がり
stability,quality or state of not being easily moved or changed,n,安定
stable,In a good situation or condition not likely changed,adj,安定した
staff,employees of a company,n,職員，職員を配置する
stair,Steps that go from one level to another,n,階段
stamp,small piece of paper you buy to put on a letter that you mail,n,切手
standard,accepted level of quality; an official measurement,adj,標準，標準の
steady,"Firmly fixed, supported or balanced; not shaking, rocking or likely to fall over",adj,安定した
steel,very strong metal made of iron and other substances mixed together,n,鋼
stir,To mix something by making circular movements in it,verb,かき混ぜる
stock,"piece of a business, bought in the form of shares",n,在庫；蓄え，仕入れる；満たす
stomach,place in the body where food is digested,n,胃
storm,"Weather with a lot of rain, snow and strong winds",n,嵐
stream,small river,n,流れる
strength,Being strong,n,力；強さ
strengthen,To make something stronger,verb,強化する
stress,To be in a state of mental tension due to problems,verb,ストレスを感じる
stretch,To make something bigger by pulling on it,verb,伸ばす
string,Thick thread; thin rope,n,糸；ひも
strip,To take something away from (someone),verb,細長い路
stroke,To touch someone or something repeatedly in a caring way,verb,なでる
struggle,to try very hard to do something difficult,verb,もがく；奮闘する
style,the (tasteful) way something is designed or made,n,様式
success,achievement of a desired purpose or goal,n,成功
successful,Having the desired effect or result,adj,成功した
successfully,In a manner that achieves a goal,adv,成功するかたちで
suffer,"To experience pain, illness, or injury",verb,苦しむ；耐える
sugar,white sweet substance used to make foods sweeter,n,砂糖
supplier,organization that provides a product or service,n,供給者
supply,To give or sell goods to others for their use,verb,供給する
surround,To be on every side of something,verb,囲む
survival,act of continuing to exist when facing difficulty,n,生き残り
survive,to continue to live despite illness or trouble,verb,耐える；生き残る
suspect,To doubt or lack trust,verb,疑う
swear,To make a serious promise to do something,verb,誓う
sweep,To remove something from a surface with a brush,verb,掃く
swing,"outdoor seat that hangs by two ropes, often from a tree",n,ブランコ
switch,thing you move to turn electrical items on or off,n,スイッチ
tale,story about colorful and imaginary events,n,物語
tank,container for holding liquid or gas,n,タンク
tap,to hit something lightly,verb,軽くたたく；コツコツと音を立てる
taxi,car that transports people for money,n,タクシー
technology,"use or knowledge of science in industry, engineering etc",n,科学技術
teenager,person between the ages of 13 and 19,n,ティーンエイジャー；１０代の若者
tension,feeling of anxiety and inability to relax,n,ピンと張ること；緊張
tent,portable cloth shelter used outdoors,n,テント
theater,place where shows are performed on a stage,n,劇場
therefore,For that reason,adv,それゆえに
thin,not thick; not wide in size,adj,薄い；細い
threat,Warning of probable trouble,n,脅し
threaten,To say you will harm or hurt someone,verb,脅かす
thus,therefore; so; as a result,adv,このように；したがって
ticket,piece of paper that lets you enter or use something,n,切符；チケット
